student_id,lab,assignment,midterm,final,hours_studied,group
S01,NeuroAI,82,78,85,6,baseline
S02,NeuroAI,74,70,79,5,baseline
S03,Imaging,91,88,93,9,llm_assisted
S04,Imaging,85,81,89,8,llm_assisted
S05,Systems,67,72,75,4,baseline
S06,Systems,77,74,80,6,baseline
S07,Language,93,90,95,10,llm_assisted
S08,Language,88,84,90,8,llm_assisted
S09,Vision,79,76,82,7,baseline
S10,Vision,86,82,88,8,llm_assisted
S11,Robotics,72,69,77,5,baseline
S12,Robotics,90,87,92,9,llm_assisted
S13,BioML,84,80,86,7,baseline
S14,BioML,89,86,91,8,llm_assisted
S15,HCI,76,73,81,6,baseline
S16,HCI,87,85,90,8,llm_assisted

